prompt_id,majority_verdict,majority_consensus_pct,flip_rate,trial_verdicts
82,B,100.0,0.0,B|B|B|B|B
83,B,100.0,0.0,B|B|B|B|B
84,B,90.0,10.0,B|B|B|B|B|B|B|B|B|A
85,B,100.0,0.0,B|B|B|B|B
86,A,100.0,0.0,A|A|A|A|A
87,B,50.0,50.0,B|B|B|B|B|A|A|A|A|A
88,B,50.0,50.0,B|B|B|B|B|A|A|A|A|A
89,B,100.0,0.0,B|B|B|B|B
91,B,100.0,0.0,B|B|B|B|B|B|B|B|B|B
93,B,75.0,25.0,A|A|A|A|A|B|B|B|B|B|B|B|B|B|B|B|B|B|B|B
94,A,100.0,0.0,A|A|A|A|A
95,B,100.0,0.0,B|B|B|B|B
96,TIE,60.0,40.0,B|TIE|TIE|TIE|A
97,B,100.0,0.0,B|B|B|B|B|B|B|B|B|B
99,B,100.0,0.0,B|B|B|B|B|B|B|B|B|B
100,A,100.0,0.0,A|A|A|A|A
101,A,60.0,40.0,A|B|A|A|TIE
103,B,100.0,0.0,B|B|B|B|B
104,B,80.0,20.0,TIE|B|B|B|B
105,B,66.7,33.3,A|A|A|A|A|B|B|B|B|B|B|B|B|B|B
106,A,73.3,26.7,A|A|A|A|A|A|B|B|B|B|A|A|A|A|A
108,A,100.0,0.0,A|A|A|A|A|A|A|A|A|A
111,A,100.0,0.0,A|A|A|A|A
112,B,100.0,0.0,B|B|B|B|B
113,A,50.0,50.0,B|TIE|TIE|B|B|A|A|A|A|A
114,A,50.0,50.0,B|B|B|TIE|B|A|A|A|A|A
115,TIE,50.0,50.0,TIE|TIE|TIE|TIE|TIE|B|B|B|B|B
119,B,100.0,0.0,B|B|B|B|B
120,A,100.0,0.0,A|A|A|A|A
121,A,70.0,30.0,A|B|B|A|B|A|A|A|A|A
122,B,50.0,50.0,B|B|B|B|B|A|A|A|A|A
123,B,100.0,0.0,B|B|B|B|B
124,B,100.0,0.0,B|B|B|B|B
128,B,50.0,50.0,B|B|B|B|B|A|A|A|A|A
130,B,53.3,46.7,B|B|B|B|B|B|B|B|A|TIE|A|A|A|A|A
131,TIE,100.0,0.0,TIE|TIE|TIE|TIE|TIE
133,A,100.0,0.0,A|A|A|A|A
134,B,100.0,0.0,B|B|B|B|B
135,TIE,100.0,0.0,TIE|TIE|TIE|TIE|TIE|TIE|TIE|TIE|TIE|TIE
136,A,100.0,0.0,A|A|A|A|A
137,A,80.0,20.0,A|A|A|A|A|A|B|A|B|B|A|A|A|A|A
138,B,70.0,30.0,B|A|A|A|B|B|B|B|B|B
140,A,100.0,0.0,A|A|A|A|A|A|A|A|A|A|A|A|A|A|A
141,B,100.0,0.0,B|B|B|B|B
142,B,100.0,0.0,B|B|B|B|B
143,B,100.0,0.0,B|B|B|B|B|B|B|B|B|B
145,B,100.0,0.0,B|B|B|B|B|B|B|B|B|B
146,B,80.0,20.0,B|B|B|B|A
147,A,50.0,50.0,A|A|A|A|A|B|B|B|B|B
148,A,100.0,0.0,A|A|A|A|A
149,B,70.0,30.0,B|A|B|B|B|A|A|A|A|A|B|B|B|B|B|B|B|B|B|B
150,B,60.0,40.0,B|B|B|B|B|A|A|B|A|A
152,B,100.0,0.0,B|B|B|B|B
154,B,50.0,50.0,B|B|B|B|B|A|A|A|A|A
156,B,66.7,33.3,A|A|A|A|B|B|A|B|B|B|B|B|B|B|B
157,A,100.0,0.0,A|A|A|A|A|A|A|A|A|A
158,A,100.0,0.0,A|A|A|A|A
159,A,100.0,0.0,A|A|A|A|A
160,B,66.7,33.3,TIE|A|TIE|TIE|TIE|B|B|B|B|B|B|B|B|B|B
