prompt_id,majority_verdict,majority_consensus_pct,flip_rate,trial_verdicts
83,B,100.0,0.0,B|B|B|B|B
84,A,80.0,20.0,A|B|A|A|A
85,A,70.0,30.0,A|A|A|A|A|A|TIE|B|A|TIE
88,TIE,100.0,0.0,TIE|TIE|TIE|TIE|TIE
93,B,100.0,0.0,B|B|B|B|B
97,TIE,50.0,50.0,TIE|TIE|TIE|TIE|TIE|B|B|B|B|B
99,B,100.0,0.0,B|B|B|B|B
111,A,60.0,40.0,A|B|A|B|A
115,TIE,70.0,30.0,TIE|TIE|TIE|TIE|TIE|B|TIE|TIE|B|B
117,B,100.0,0.0,B|B|B|B|B
121,A,100.0,0.0,A|A|A|A|A
127,B,100.0,0.0,B|B|B|B|B
130,A,100.0,0.0,A|A|A|A|A
133,A,100.0,0.0,A|A|A|A|A
138,A,100.0,0.0,A|A|A|A|A
140,A,100.0,0.0,A|A|A|A|A
142,B,100.0,0.0,B|B|B|B|B
145,TIE,100.0,0.0,TIE|TIE|TIE|TIE|TIE
149,B,100.0,0.0,B|B|B|B|B
150,A,100.0,0.0,A|A|A|A|A
151,B,100.0,0.0,B|B|B|B|B
152,A,100.0,0.0,A|A|A|A|A
155,A,100.0,0.0,A|A|A|A|A
159,B,66.7,33.3,A|A|A|A|A|B|B|B|B|B|B|B|B|B|B
160,B,80.0,20.0,TIE|B|B|B|B
